ID,Contenitore,Categoria,Lat,Long,LDCN,PRCD,Scheda_Chiesa,Numero opere,Link_StorieMemorie,Link_OrigineBologna,Link_BibSalaBorsa,Link_Wiki,Link_GenusBononiae,Link_CentroFasoli,Link_Archiginnasio,Link_Carisbo,Link_Beweb,Link_CatBBCC,Link_Chiese_ita,Path
86,Chiesa di S. Leonardo delle Carceri,Chiese,44.49437050090381,11.34372572023549,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa+di+S.+Leonardo+delle+Carceri,,1,,https://www.originebologna.com/strade/canepa-piazzetta-della/chiesa-di-san-leonardo-dei-carcerati/,,,,,,,,,,
87,Chiesa di S. Lorenzo (ex S. Maria del Cestello),Chiese,44.48809122566851,11.3480700889543,,,,1,,https://www.originebologna.com/strade/strada-castiglione/n-396-397/,,,,,,,,,,
88,Chiesa di S. Lucia,Chiese,44.49033421279163,11.34750840271384,,"https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Lucia&page=1&filtroprovenienza_OA=5412%7C559",,2,,,https://www.bibliotecasalaborsa.it/bolognaonline/bologna-dello-sport/i-luoghi-dello-sport-a-bologna/ex-chiesa-di-s-lucia,,,,,,,,,
89,Chiesa di S. Marco,Chiese,44.49473049531412,11.346674641104569,,,,,,https://www.originebologna.com/strade/porta-ravegnana-piazza-di/n-71/,,,,,,,,,,
90,Chiesa di S. Margherita,Chiese,44.492676029016586,11.341248986035831,,,,,,https://www.originebologna.com/strade/pugliole-di-santa-margherita/n-1440-chiesa-e-monastero-di-monache-benedettine-di-santa-margherita/,,,,,,,,,,
91,Chiesa di S. Maria dei Bulgari (ex),Chiese,44.49221357481868,11.343874364418278,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20dei%20Bulgari%20(ex)&page=1&filtrolocalizzazione_OA=5412%7C8361,,,20,,,,,,,https://www.archiginnasio.it/visita-l-archiginnasio/santa-maria-dei-bulgari,,,,,
92,Chiesa di S. Maria degli Angeli,Chiese,44.485898778941426,11.349353647664826,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20degli%20Angeli&page=1&filtroprovenienza_OA=5412%7C336,,2,,https://www.originebologna.com/strade/angeli/n-295-2-28-chiesa-di-santa-maria-degli-angeli/,,,,,,,,,,
93,Convento di S. Maria degli Angeli,Conventi e monasteri,44.491698474934346,11.334788777908603,,,,2,,https://www.originebologna.com/strade/nosadella/n-653-652-651/,,,,,,,,,,
94,Chiesa di S. Maria della Carità,Chiese,44.497883089609644,11.331825102534365,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Carit%C3%A0&page=1&filtrolocalizzazione_OA=5412%7C6312,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa%20di%20S.%20Maria%20della%20Carit%C3%A0&page=1&filtroprovenienza_OA=5412%7C6312,,9,,https://www.originebologna.com/strade/san-felice/n-37/,,,,,,,,,,
95,Chiesa di S. Maria della Libertà,Chiese,44.48843157168212,11.335082698682516,,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chiesa+di+S.+Maria+della+Libert%C3%A0,,1,,https://www.originebologna.com/strade/mura-della-citta-wip/n-281/,,,,,,,,,,
96,Chiesa di S. Maria e S. Domenico alla Mascarella,Chiese,44.49966604535825,11.35024589696665,,,,1,,https://www.originebologna.com/strade/mascarella/n-1573/,,,,,,,,,,
97,Oratorio di S. Maria Maddalena della Mascarella,Oratori,44.4995798744547,11.350129593254836,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Oratorio%20di%20S.%20Maria%20Maddalena%20della%20Mascarella&page=1&filtrolocalizzazione_OA=5412%7C3245,https://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Oratorio%20di%20S.%20Maria%20Maddalena%20della%20Mascarella&page=1&filtroprovenienza_OA=5412%7C4211,,3,,,,,,,,,,https://catalogo.beniculturali.it/detail/PhotographicHeritage/0800634357,,
98,Chiesa di S. Maria e S. Valentino della Grada,Chiese,44.4974268167336,11.328042250927952,,,,,,https://www.originebologna.com/strade/mura-della-citta-wip/n-930-chiesa-della-madonna-della-grada/,,,,,,,,,,
